module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
5,1,features.0.layers.0,[10  2  1  2],34.0,-94.0,"tensor(91.3700, device='cuda:0')","tensor(0.5400, device='cuda:0')",0
21,2,features.1.layers.0,[59 14  1  2],11.0,-117.0,"tensor(91., device='cuda:0')","tensor(0.3700, device='cuda:0')",0
5,3,features.0.layers.0,[14  2  2  0],-28.0,100.0,"tensor(90.5200, device='cuda:0')","tensor(0.4800, device='cuda:0')",0
5,4,features.0.layers.0,[62  1  2  0],11.0,-117.0,"tensor(88.7300, device='cuda:0')","tensor(1.7900, device='cuda:0')",0
5,5,features.0.layers.0,[14  2  2  2],-26.0,102.0,"tensor(86.6900, device='cuda:0')","tensor(2.0400, device='cuda:0')",0
21,6,features.1.layers.0,[ 8 14  1  2],-31.0,97.0,"tensor(84.3600, device='cuda:0')","tensor(2.3300, device='cuda:0')",0
5,7,features.0.layers.0,[10  1  1  2],8.0,-120.0,"tensor(80.7400, device='cuda:0')","tensor(3.6200, device='cuda:0')",0
5,8,features.0.layers.0,[14  0  2  2],-9.0,119.0,"tensor(75.8800, device='cuda:0')","tensor(4.8600, device='cuda:0')",0
5,9,features.0.layers.0,[21  0  1  1],102.0,-26.0,"tensor(70.3700, device='cuda:0')","tensor(5.5100, device='cuda:0')",0
5,10,features.0.layers.0,[21  1  1  1],116.0,-12.0,"tensor(60.6300, device='cuda:0')","tensor(9.7400, device='cuda:0')",0
21,11,features.1.layers.0,[35 14  2  1],-111.0,17.0,"tensor(49.4900, device='cuda:0')","tensor(11.1400, device='cuda:0')",0
5,12,features.0.layers.0,[21  2  1  1],96.0,-32.0,"tensor(39.4500, device='cuda:0')","tensor(10.0400, device='cuda:0')",0
5,13,features.0.layers.0,[14  2  1  1],-81.0,47.0,"tensor(34.8100, device='cuda:0')","tensor(4.6400, device='cuda:0')",0
21,14,features.1.layers.0,[14 21  2  0],-4.0,124.0,"tensor(26.7700, device='cuda:0')","tensor(8.0400, device='cuda:0')",0
21,15,features.1.layers.0,[14 21  2  1],-36.0,92.0,"tensor(22.6200, device='cuda:0')","tensor(4.1500, device='cuda:0')",0
21,16,features.1.layers.0,[24 21  2  1],-2.0,126.0,"tensor(18.6000, device='cuda:0')","tensor(4.0200, device='cuda:0')",0
5,17,features.0.layers.0,[21  2  2  2],7.0,-121.0,"tensor(16.3600, device='cuda:0')","tensor(2.2400, device='cuda:0')",0
21,18,features.1.layers.0,[24 21  2  0],-7.0,121.0,"tensor(14.5200, device='cuda:0')","tensor(1.8400, device='cuda:0')",0
5,19,features.0.layers.0,[21  2  2  0],34.0,-94.0,"tensor(13.4700, device='cuda:0')","tensor(1.0500, device='cuda:0')",0
21,20,features.1.layers.0,[14 21  1  1],-82.0,46.0,"tensor(13.3600, device='cuda:0')","tensor(0.1100, device='cuda:0')",0
5,21,features.0.layers.0,[21  0  2  0],42.0,-86.0,"tensor(13.1300, device='cuda:0')","tensor(0.2300, device='cuda:0')",0
21,22,features.1.layers.0,[40 21  2  1],16.0,-112.0,"tensor(12.7200, device='cuda:0')","tensor(0.4100, device='cuda:0')",0
